name,year,date,pitch,whip,inning,fati
윤길현,2016,06-30,14,0.0,1.1,42.0
윤길현,2016,07-07,7,3.0,0.1,7.0
윤길현,2016,07-08,18,0.0,2.0,72.0
윤길현,2016,07-09,16,4.0,0.0,64.0
윤길현,2016,07-13,12,0.0,1.0,18.0
윤길현,2016,07-14,34,3.0,1.1,136.0
윤길현,2016,07-20,22,2.0,0.2,22.0
윤길현,2016,07-23,18,4.0,1.0,36.0
윤길현,2016,07-26,19,3.0,0.1,38.0
윤길현,2016,07-28,8,1.0,1.0,24.0
윤길현,2016,07-30,24,1.0,1.1,72.0
윤길현,2016,08-03,30,2.0,1.2,45.0
윤길현,2016,08-05,12,0.0,1.1,36.0
윤길현,2016,08-10,18,0.0,1.2,18.0
윤길현,2016,08-11,11,0.0,1.0,44.0
윤길현,2016,08-12,26,1.0,2.0,104.0
윤길현,2016,08-14,13,1.0,1.0,39.0
윤길현,2016,08-18,15,3.0,1.1,22.5
윤길현,2016,08-19,12,3.0,0.1,48.0
윤길현,2016,08-20,23,2.0,0.2,92.0
윤길현,2016,08-23,11,0.0,0.2,22.0
윤길현,2016,08-30,31,2.0,1.1,31.0
윤길현,2016,09-01,14,1.0,0.1,42.0
윤길현,2016,09-03,16,1.0,1.1,48.0
윤길현,2016,09-04,15,1.0,1.0,60.0
윤길현,2016,09-08,30,4.0,1.0,45.0
윤길현,2016,09-09,2,1.0,0.0,8.0
윤길현,2016,09-11,34,5.0,1.0,102.0
윤길현,2016,09-14,15,2.0,0.2,30.0
윤길현,2016,09-15,16,2.0,0.2,64.0
윤길현,2016,09-21,19,3.0,1.0,19.0
윤길현,2016,09-24,6,0.0,0.1,12.0
윤길현,2016,09-25,11,1.0,0.1,44.0
윤길현,2016,09-27,14,2.0,0.1,42.0
윤길현,2016,10-02,26,4.0,1.0,26.0
윤길현,2016,10-07,12,1.0,0.2,12.0
윤지웅,2014,04-11,47,6.0,2.1,47.0
윤지웅,2014,04-16,9,0.0,0.2,9.0
윤지웅,2014,04-19,4,1.0,0.0,8.0
윤지웅,2014,04-20,2,0.0,0.1,8.0
윤지웅,2014,04-22,25,2.0,1.0,75.0
윤지웅,2014,04-23,20,4.0,0.2,80.0
윤지웅,2014,05-14,4,0.0,0.1,4.0
윤지웅,2014,05-22,24,3.0,1.0,24.0
윤지웅,2014,05-24,9,2.0,0.0,27.0
윤지웅,2014,05-28,8,0.0,0.1,12.0
윤지웅,2014,05-29,20,1.0,1.0,80.0
윤지웅,2014,05-30,9,0.0,1.0,36.0
윤지웅,2014,06-07,3,0.0,0.1,3.0
